time;x;y
0.000000;171;447
0.030407;184;429
0.040933;207;399
0.070281;237;358
0.079774;271;312
0.088906;468;43
0.107238;469;41
0.222990;461;53
0.338312;443;77
0.454197;416;115
0.569184;382;161
0.686398;344;213
0.803720;304;267
0.918235;265;320
1.033508;230;367
1.153545;201;406
1.264627;181;434
1.382524;169;449
1.497446;169;450
1.611385;178;437
1.728868;197;412
1.843249;223;377
1.959699;256;332
2.076533;293;282
2.188666;330;231
2.305854;368;180
2.420868;403;132
2.539536;432;93
2.651084;454;63
2.768316;466;45
2.883473;470;41
3.000280;464;49
3.117074;448;71
3.231565;422;106
3.350535;390;150
3.470468;352;201
3.579699;313;255
3.710971;273;309
3.810199;237;358
3.925699;207;399
4.041065;184;429
4.158624;171;447
4.273883;168;451
4.388397;176;441
4.503881;192;419
4.620176;217;385
4.735928;249;342
4.853147;284;294
4.967117;323;242
5.082627;360;191
5.198795;396;142
5.315111;426;101
5.431523;449;69
5.544619;465;48
5.661664;470;40
5.776696;466;47
5.892992;451;66
6.010735;429;97
6.126658;397;140
6.241408;360;191
6.356907;321;244
6.472183;281;298
6.589918;245;347
6.702744;213;390
6.819964;189;423
6.935211;173;444
7.050711;168;451
7.167376;173;444
7.282633;188;424
7.396306;211;393
7.513137;241;352
7.629365;276;305
7.746062;314;253
7.860255;353;201
7.976058;388;152
8.090323;420;109
8.207667;445;75
8.347487;462;51
8.439405;470;41
8.554689;467;44
8.670293;455;61
8.786229;434;90
8.903125;404;131
9.017155;369;179
9.136943;330;232
9.248340;290;286
9.364234;252;337
9.481868;219;382
9.595111;193;417
9.711243;176;440
9.825764;168;450
9.944856;171;447
10.062353;184;429
10.173399;206;400
10.290051;235;361
10.405026;268;315
10.523542;306;264
10.639696;344;212
10.755775;381;162
10.870062;413;118
10.986494;439;83
11.101739;458;57
11.217053;469;42
11.331999;469;43
11.448123;459;56
11.564315;439;83
11.678258;411;121
11.796938;377;168
11.910892;338;221
12.025571;298;275
12.142329;260;327
12.258505;225;374
12.376489;199;409
12.488636;179;436
12.604561;169;449
12.720211;170;448
12.836665;181;434
12.953547;200;407
13.067273;228;370
13.183149;261;325
13.299327;298;275
13.415871;336;224
13.532438;373;173
13.646475;407;127
13.761782;434;90
13.877614;455;61
13.993411;467;45
14.110926;469;41
14.226585;462;52
14.341903;444;76
14.457930;418;112
14.573618;384;158
14.690248;347;209
14.804962;307;263
14.926490;268;316
15.033888;233;364
15.150072;204;402
15.268670;183;431
15.383353;171;447
15.498138;169;450
15.614024;177;438
15.730948;196;413
15.847045;221;379
15.961276;254;335
16.076733;290;286
16.192671;328;234
16.308019;366;183
16.425845;400;136
16.538832;428;98
16.655686;451;67
16.770755;465;47
16.888584;470;41
17.002637;464;49
17.116987;449;70
17.232396;424;104
17.351080;392;148
17.463188;355;198
17.583234;315;252
17.696595;276;305
17.812700;239;355
17.928431;210;394
18.045601;187;425
18.162322;173;444
18.276793;168;450
18.391744;175;441
18.507189;191;419
18.643945;215;387
18.740596;246;345
18.854358;282;296
18.970856;320;245
19.086139;357;194
19.202688;393;146
19.319300;423;105
19.455417;448;71
19.566593;463;50
19.663199;470;41
19.781979;466;46
19.896182;452;65
20.010617;430;96
20.127394;399;138
20.243197;363;187
20.358779;324;240
20.476952;284;294
20.594107;247;344
20.707804;216;386
20.820293;191;420
20.938514;175;441
21.053955;169;450
21.169239;173;444
21.284330;187;425
21.404455;210;394
21.515935;239;355
21.633331;274;308
21.746957;311;257
21.877011;349;206
21.977622;386;155
22.096370;418;112
22.212340;443;78
22.326722;461;53
22.440776;469;42
22.556616;467;44
22.672514;456;60
22.789218;435;88
22.902861;407;127
23.018252;371;176
23.135564;332;229
23.251687;293;282
23.367843;255;333
23.482488;223;377
23.597977;196;413
23.713881;178;438
23.830255;169;449
23.947297;171;446
24.061678;183;430
24.176877;204;402
24.293062;233;363
24.408306;266;318
24.526084;304;267
24.640365;341;216
24.756231;378;167
24.871832;410;123
24.988369;437;86
25.104825;457;59
25.218900;468;44
25.335018;469;43
25.450653;459;56
25.566671;441;81
25.682927;413;119
25.797845;379;165
25.912505;341;217
26.028905;301;271
26.146079;263;323
26.262340;229;368
26.375010;201;407
26.490058;181;433
26.606135;170;448
26.722045;170;448
26.839545;180;434
26.954196;199;409
27.069402;226;372
27.192191;259;328
27.302857;295;279
27.421481;334;227
27.534268;370;177
27.649808;403;133
27.764534;432;93
27.880895;453;64
27.998749;466;46
28.112629;469;42
28.227773;462;52
28.343391;445;75
28.460044;420;110
28.577178;387;154
28.691008;349;206
28.809031;309;260
28.922184;270;313
29.037663;236;359
29.156449;206;399
29.267976;185;428
29.384341;172;445
29.500954;169;449
29.619502;177;438
29.733838;194;415
29.846595;220;381
29.962431;251;338
30.080753;287;290
30.195539;325;238
30.317739;362;188
30.426996;397;140
30.549726;427;99
30.657225;449;70
30.779021;464;49
30.890169;469;42
31.004534;464;49
31.120451;450;69
31.237305;426;101
31.352595;394;145
31.470059;357;195
31.584291;318;248
31.699502;279;301
31.814759;243;349
31.931627;213;391
32.048883;188;423
32.162385;174;443
32.277948;169;449
32.393837;175;441
32.509456;190;421
32.626902;214;389
32.740854;244;348
32.857860;279;300
32.972456;317;249
33.088807;355;197
33.205504;390;150
33.319388;421;108
33.435812;445;75
33.550578;462;53
33.666074;469;42
33.783456;466;47
33.896563;453;64
34.013399;432;94
34.127333;402;134
34.244999;366;183
34.360753;327;236
34.478393;287;290
34.592190;250;340
34.707881;217;384
34.823725;193;417
34.940347;176;439
35.055017;169;449
35.170115;173;444
35.288394;186;426
35.402392;208;397
35.526558;237;357
35.631270;272;311
35.749478;308;261
35.863814;347;209
35.978239;383;160
36.098184;415;116
36.210513;440;82
36.327524;459;56
36.443671;468;44
36.559779;468;44
36.675947;457;59
36.791127;437;86
36.906439;409;125
37.022379;374;172
37.137947;335;225
37.255355;295;279
37.370381;257;330
37.485920;224;375
37.600974;198;410
37.718598;179;436
37.833580;169;448
37.947713;171;446
38.063777;182;431
38.179186;203;403
38.294220;230;367
38.412437;264;321
38.526968;301;271
38.642994;338;220
38.756319;375;170
38.886949;408;125
38.989306;435;89
39.104912;456;61
39.219216;467;45
39.356216;469;43
39.450731;460;55
39.595756;442;80
39.682676;415;116
39.815847;381;162
39.913523;343;214
40.055359;304;267
40.149661;266;319
40.261120;231;365
40.377477;203;404
40.494582;182;431
40.610950;171;447
40.727016;170;448
40.841588;179;435
40.957433;198;410
41.081622;224;375
41.188010;256;332
41.306644;292;283
41.418865;330;232
41.534593;367;181
41.653110;402;134
41.766833;429;97
41.884730;452;66
41.998877;465;48
42.114144;469;42
42.230183;463;51
42.346306;447;73
42.463092;422;107
42.576198;389;151
42.692627;352;202
42.807302;313;255
42.931065;273;309
43.040246;238;356
43.165177;209;395
43.269484;187;425
43.398764;173;444
43.504208;169;449
43.623812;176;439
43.734630;193;417
43.853250;218;383
43.965558;249;341
44.098610;285;293
44.197281;322;242
44.313143;359;192
44.426559;395;143
44.557001;424;104
44.658913;448;72
44.795132;463;51
44.890620;469;43
45.007782;464;49
45.123991;451;68
45.237296;428;99
45.355425;397;141
45.468495;360;191
45.586075;321;244
45.701662;282;297
45.816553;245;346
45.935833;215;388
46.046523;190;420
46.165372;174;442
46.278105;169;449
46.400109;174;442
46.512627;189;422
46.633102;212;391
46.743428;242;351
46.858024;276;304
46.974666;314;254
47.094808;351;203
47.204560;387;154
47.320871;417;113
47.435213;443;78
47.552286;460;55
47.668568;468;44
47.782802;467;46
47.899195;454;63
48.014383;434;91
48.131605;404;131
48.247481;369;179
48.373110;330;232
48.476921;291;284
48.601633;253;336
48.710105;221;379
48.834484;195;414
48.942921;178;437
49.064359;170;448
49.174296;172;444
49.295721;185;427
49.407039;206;399
49.523112;235;360
49.636691;269;315
49.752524;306;264
49.868622;344;213
49.985939;380;164
50.098460;412;120
50.213600;439;84
50.330749;458;58
50.445969;468;45
50.563495;467;45
50.676765;458;58
50.795049;438;85
50.907833;411;122
51.025509;377;168
51.142459;339;220
51.256248;299;274
51.371657;260;326
51.487733;227;371
51.605027;199;408
51.721241;180;434
51.834090;170;447
51.950300;171;446
52.065959;181;432
52.182690;201;406
52.298982;228;370
52.415010;261;325
52.528202;297;276
52.644312;335;225
52.762886;372;175
52.877028;406;129
52.990502;434;91
53.105917;454;63
53.221503;466;47
53.338916;468;44
53.455613;461;54
53.569390;444;77
53.685803;418;113
53.801855;385;157
53.917950;347;209
54.036435;307;263
54.148057;269;314
54.263611;234;361
54.380145;205;401
54.496280;183;430
54.612907;172;445
54.725625;170;447
54.841195;179;436
54.956957;196;413
55.073289;222;378
55.192723;254;335
55.303626;289;287
55.420978;327;236
55.536046;364;185
55.651737;399;138
55.770061;428;99
55.883781;450;68
55.999705;464;50
56.115474;469;43
56.246948;463;51
56.348023;448;71
56.476619;424;105
56.577350;392;148
56.706355;355;198
56.809510;316;251
56.945105;277;303
57.040287;241;352
57.176859;210;393
57.272941;187;425
57.389317;173;443
57.505623;170;448
57.619838;176;439
57.735704;192;418
57.851656;216;386
57.966783;246;345
58.084579;281;298
58.198527;319;247
58.314438;357;195
58.429660;391;149
58.546202;422;107
58.663062;446;74
58.777053;462;52
58.891377;468;44
59.009126;465;48
59.125077;452;66
59.241666;429;97
59.355520;399;138
59.472066;364;186
59.586946;325;238
59.702547;286;292
59.820189;248;342
59.935244;217;385
60.050699;192;418
60.166508;176;439
60.281509;169;448
60.399828;174;442
60.514275;187;424
60.629943;210;394
60.743933;239;355
60.860888;273;308
